,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,
"Table Title: Singapore Residents By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 27/09/2022,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number
  80 Years & Over,76254,71281,66096,62942,60961,58514,54849,51761,49084,46460
  85 Years & Over,37627,35065,32772,31001,29289,27661,25946,24134,22465,20873
  90 Years & Over,14563,13614,12529,11509,10590,9895,9445,9021,8481,8006
Total Malays,545498,540783,535824,530710,525888,520923,516657,512837,509519,506637
  0 - 4 Years,38668,37374,36169,34561,33088,31691,30899,30587,30868,31396
  5 - 9 Years,32070,31339,30930,31212,31706,32359,32837,33379,34069,35310
  10 - 14 Years,32472,32966,33438,34079,35267,36764,38395,39902,41516,42607
  15 - 19 Years,37018,38703,40170,41735,42750,43584,44424,45767,46721,47713
  20 - 24 Years,43813,44675,45986,46888,47798,48590,49165,48678,47824,46242
  25 - 29 Years,48668,49243,48796,47947,46239,44466,42597,40804,39636,38729
  30 - 34 Years,44614,42855,41104,39927,38943,37710,35985,34420,32541,31043
  35 - 39 Years,37719,36079,34512,32504,30939,29582,29430,29830,31040,32186
  40 - 44 Years,29282,29199,29543,30618,31701,32543,32636,33323,34049,35737
  45 - 49 Years,32010,32131,32821,33451,35056,37208,39787,42210,43652,44347
  50 - 54 Years,36429,38961,41235,42560,43212,43192,43038,42024,41001,39564
  55 - 59 Years,41812,41690,40637,39667,38118,36525,34819,33371,31457,29593
  60 - 64 Years,34823,33141,31742,29935,28147,26108,24415,22492,21207,20527
  65 - 69 Years,24366,22771,20922,19630,18867,17131,14944,13546,11723,9706
  70 - 74 Years,15274,13264,12011,10385,8571,8467,8841,8729,8896,8903
  75 - 79 Years,7015,7325,7193,7333,7275,7118,7200,7097,7042,7051
